hour;home;h6;h3;h1
6829;0.41958041958042;0.687793427230047;0.769953051643192;0.808857808857809
6830;0.407925407925408;0.673708920187793;0.751173708920188;0.794871794871795
6831;0.414918414918415;0.687793427230047;0.774647887323944;0.82983682983683
6832;0.435897435897436;0.690140845070423;0.779342723004695;0.834498834498835
6833;0.475524475524476;0.657276995305164;0.727699530516432;0.750582750582751
6834;0.531468531468531;0.652582159624413;0.697183098591549;0.741258741258741
6835;0.615384615384615;0.708920187793427;0.741784037558685;0.785547785547786
6836;0.65034965034965;0.791079812206573;0.828638497652582;0.883449883449883
6837;0.680652680652681;0.84037558685446;0.866197183098592;0.885780885780886
6838;0.710955710955711;0.915492957746479;0.931924882629108;0.934731934731935
6839;0.72027972027972;0.953051643192488;0.957746478873239;0.958041958041958
6840;0.734265734265734;0.974178403755869;0.974178403755869;0.96969696969697
6841;0.75990675990676;0.995305164319249;0.995305164319249;0.988344988344988
6842;0.75990675990676;1.0;1.0;0.993006993006993
6843;0.75990675990676;1.0;1.0;0.993006993006993
6844;0.757575757575758;0.995305164319249;0.995305164319249;0.988344988344988
6845;0.75990675990676;0.995305164319249;0.997652582159624;0.990675990675991
6846;0.745920745920746;0.97887323943662;0.983568075117371;0.976689976689977
6847;0.692307692307692;0.913145539906103;0.92018779342723;0.913752913752914
6848;0.578088578088578;0.772300469483568;0.786384976525822;0.785547785547786
6849;0.454545454545455;0.765258215962441;0.81924882629108;0.832167832167832
6850;0.400932400932401;0.748826291079812;0.821596244131455;0.843822843822844
6851;0.37995337995338;0.720657276995305;0.807511737089202;0.841491841491842
6852;0.351981351981352;0.706572769953052;0.802816901408451;0.843822843822844
6853;0.370629370629371;0.676056338028169;0.762910798122066;0.801864801864802
6854;0.358974358974359;0.671361502347418;0.762910798122066;0.804195804195804
6855;0.365967365967366;0.673708920187793;0.776995305164319;0.832167832167832
6856;0.412587412587413;0.652582159624413;0.748826291079812;0.7995337995338
6857;0.477855477855478;0.593896713615023;0.678403755868545;0.734265734265734
6858;0.559440559440559;0.622065727699531;0.673708920187793;0.715617715617716
