hour;SE3;NO1;DK1
4926;17.24955242;17.69200695;10.09436412
4927;17.41725324;17.69200699;17.24480568
4928;17.56482061;17.692007;17.51683889
4929;17.49103622;17.692007;17.49103643
4930;17.49103726;17.692007;17.49103805
4931;17.49106936;17.692007;17.49107036
4932;17.49106533;17.692007;17.49106697
4933;17.56482229;17.69200701;17.56482149
4934;17.56482187;17.69200701;17.56482187
4935;17.5648274;17.69200701;17.56482754
4936;17.56482813;17.69200701;17.56482876
4937;17.56482955;17.69200701;17.56483027
4938;17.56482877;17.69200701;17.56482966
4939;17.56482799;17.69200701;17.56482853
4940;17.56482595;17.69200701;17.56482603
4941;17.49103792;17.69200699;17.51683769
4942;17.51683875;17.69200699;17.51683908
4943;17.46523497;17.69200698;17.46523438
4944;17.49103722;17.69200697;17.49103663
4945;17.49103618;17.69200697;17.4910329
4946;17.49103584;17.69200696;17.49103065
4947;17.49103669;17.69200696;17.49102535
4948;17.49103667;17.69200696;17.49091493
4949;17.41724988;17.69200696;17.41724664
4950;17.56482177;17.69200698;17.51683833
4951;17.56482386;17.692007;17.51684146
4952;17.56482643;17.692007;17.56482641
4953;17.56482813;17.69200701;17.56482831
4954;17.5648278;17.69200701;17.56482769
4955;17.56482853;17.69200701;17.56482832
4956;17.56483156;17.69200701;17.56483113
4957;17.56482901;17.69200701;17.56482877
4958;17.56483086;17.69200701;17.56483087
4959;17.56482941;17.69200701;17.56482978
4960;17.56482973;17.69200701;17.56483041
4961;17.56483374;17.69200701;17.56483427
4962;17.56482896;17.69200701;17.56483032
4963;17.56482556;17.69200701;17.56482572
4964;17.56482478;17.692007;17.51685812
4965;17.56482418;17.692007;17.51684485
4966;17.56481485;17.69200699;17.51683894
4967;17.49120204;17.69200698;17.49119837
4968;17.49087248;17.69200697;17.31769634
4969;17.4910368;17.69200696;17.3178568
4970;17.49103674;17.69200696;17.17169117
4971;17.49103683;17.69200696;17.31785346
4972;17.49103689;17.69200696;17.31785706
4973;17.44931104;17.69200696;17.2765451
4974;17.53276351;17.69200696;17.35917214
4975;17.56482425;17.69200697;17.39091613
4976;17.56482489;17.69200698;17.39092311
4977;17.56482516;17.69200699;17.51683844
4978;17.56482522;17.692007;17.5168388
4979;17.5648254;17.692007;17.51683902
4980;17.56482538;17.692007;17.51683881
4981;17.56482842;17.69200701;17.51684007
4982;17.56482589;17.692007;17.51683904
4983;17.56482465;17.692007;17.51683855
4984;17.56482502;17.69200701;17.51684035
4985;17.56482556;17.69200701;17.56482467
4986;17.56482512;17.692007;17.51698771
4987;17.5648248;17.692007;17.51684507
4988;17.51683866;17.69200699;17.51683851
4989;17.5168394;17.69200699;17.51683833
4990;17.43951545;17.69200698;17.43951419
4991;17.49102882;17.69200694;17.17168663
4992;16.81578525;17.69200692;16.47517868
4993;17.32225596;17.69200691;17.15074484
4994;16.81578467;17.6920069;16.48176823
4995;16.98887346;17.6920069;16.82066342
4996;16.99227385;17.6920069;16.8240314
4997;17.34346144;17.69200691;17.17168899
4998;17.56482475;17.69200697;17.51683791
4999;17.56482473;17.69200699;17.51684045
5000;17.56482443;17.692007;17.56482286
5001;17.56482435;17.692007;17.5648155
5002;17.56482361;17.692007;17.51684098
5003;17.55466597;17.692007;17.5168406
5004;17.56482419;17.69200701;17.56482354
5005;17.56481969;17.692007;17.56481868
5006;17.56482305;17.69200701;17.56482266
5007;17.56482247;17.69200701;17.56482223
5008;17.56482205;17.69200701;17.56482201
5009;17.56482475;17.69200701;17.56482524
5010;17.56482667;17.69200701;17.56482772
5011;17.56482552;17.692007;17.56482623
5012;17.51684772;17.692007;17.51684782
5013;17.34340436;17.69200697;17.34340892
5014;16.11549342;17.69200695;16.11549381
5015;15.95594315;17.69200694;16.11548979
5016;15.94461252;17.69200692;15.94462001
5017;16.11548752;17.69200691;16.11548987
5018;16.10408352;17.6920069;16.1040859
5019;16.26511663;17.6920069;16.26511602
5020;16.38490447;17.6920069;16.38490372
5021;16.41517453;17.6920069;16.41517361
5022;17.51683928;17.69200698;17.51683781
5023;17.56482851;17.69200699;17.51683895
5024;17.5648225;17.692007;17.51683931
5025;17.51683828;17.69200699;17.5168386
5026;17.49103823;17.69200699;17.49104007
5027;17.51563024;17.69200699;17.51563186
5028;17.49103752;17.69200699;17.49103833
5029;17.51683773;17.692007;17.51683796
5030;17.4910375;17.69200699;17.49103773
5031;17.51561002;17.692007;17.51561026
5032;17.49103716;17.692007;17.49103711
5033;17.56482905;17.692007;17.51683821
5034;17.5648292;17.692007;17.51683718
5035;17.45167844;17.69200699;17.45167407
5036;16.43742282;17.69200697;16.27467283
5037;15.63046529;17.69200696;1.65885E-05
5038;15.63046605;17.69200695;1.4155E-05
5039;15.63046528;17.69200693;1.32087E-05
5040;15.63047084;17.69200692;1.31304E-05
5041;15.63046664;17.6920069;1.27964E-05
5042;15.63049428;17.6920069;1.26147E-05
5043;15.78676872;17.69200689;1.24135E-05
5044;15.94463545;17.6920069;1.20877E-05
5045;15.94474564;17.69200691;1.16194E-05
5046;17.34343893;17.69200697;1.17403E-05
5047;17.56482433;17.69200698;1.25803E-05
5048;17.56482453;17.69200699;1.34816E-05
5049;17.56482619;17.69200699;1.34571E-05
5050;17.41724642;17.69200699;1.29218E-05
5051;17.4910382;17.69200699;1.34774E-05
5052;17.49103716;17.69200699;1.2996E-05
5053;17.49103722;17.692007;1.23008E-05
5054;17.49103687;17.692007;1.1672E-05
5055;17.49103758;17.692007;1.15553E-05
5056;17.49103649;17.692007;1.13983E-05
5057;17.5107036;17.692007;1.21193E-05
5058;17.56482509;17.692007;1.24148E-05
5059;17.56481684;17.692007;1.11577E-05
5060;17.3434079;17.69200699;6.2661E-06
5061;17.32231268;17.69200698;4.142E-06
5062;16.15870204;17.69200697;3.37892E-06
5063;15.94463858;17.69200695;2.51559E-06
5064;15.87463817;17.69200692;2.45761E-06
5065;15.94463425;17.69200691;2.47231E-06
5066;15.88098999;17.6920069;2.42893E-06
5067;15.94463413;17.6920069;2.37829E-06
5068;15.94463675;17.6920069;2.32598E-06
5069;17.03299708;17.6920069;2.3322E-06
5070;17.56481446;17.69200698;2.51479E-06
5071;17.56482535;17.69200699;3.34695E-06
5072;17.56482488;17.692007;4.0808E-06
5073;17.49104807;17.692007;4.06779E-06
5074;17.4910344;17.692007;3.85865E-06
5075;17.49103749;17.692007;4.36185E-06
5076;17.49103727;17.692007;3.85979E-06
5077;17.49103697;17.692007;3.26769E-06
5078;17.49103777;17.692007;3.55693E-06
5079;17.49103673;17.692007;3.13861E-06
5080;17.49103689;17.692007;3.66188E-06
5081;17.49103729;17.692007;11.24332023
5082;17.56482065;17.692007;12.22099898
5083;17.56482476;17.692007;12.22099871
5084;17.34341125;17.69200699;12.22099694
5085;16.23320894;17.69200698;12.22098116
5086;15.94463765;17.69200696;11.98019889
5087;15.78676984;17.69200694;11.98019791
5088;15.63046514;17.69200692;11.98019786
5089;15.63046118;17.69200691;11.98019797
5090;15.47571585;17.6920069;11.98019815
5091;15.63047335;17.6920069;11.98019847
5092;15.94463257;17.6920069;11.98019934
5093;16.25920205;17.6920069;12.22096887
5094;17.41740203;17.69200698;12.22099861
5095;17.56482389;17.69200699;12.22099932
5096;17.56482385;17.692007;12.22099974
5097;17.49109047;17.692007;12.22099912
5098;17.49103739;17.692007;11.24332777
5099;17.49103979;17.692007;12.22100589
5100;17.56482239;17.692007;13.55068988
5101;17.56481864;17.692007;12.46664701
5102;17.56482054;17.692007;17.51680935
5103;17.51684119;17.692007;17.51683738
5104;17.56482313;17.69200701;17.51683881
5105;17.56482486;17.69200701;17.51683939
5106;17.56482516;17.69200701;17.51683994
5107;17.56482433;17.692007;17.51683928
5108;17.49087407;17.692007;17.4908741
5109;17.34362168;17.69200699;17.34362107
5110;17.17325031;17.69200696;17.17324947
5111;16.31784979;17.69200695;16.11549447
5112;16.32111403;17.69200693;16.11549394
5113;16.32437898;17.69200691;16.11549411
5114;16.32764571;17.69200691;16.11549534
5115;16.33091219;17.6920069;16.11549717
5116;16.33418009;17.6920069;16.17245512
5117;17.34340707;17.69200695;17.34340132
5118;17.5648312;17.69200698;17.51683842
